Archivo,SOC_INIT,SOC_END,DIF_SOC,POWER_CONSUMED,DISTANCIA,DURACION,VELOCIDAD_PROMEDIO,ELEVACION,DESCENSO
Ride_255.csv,81.2234,81.7113,-0.4879,-80.0,0.02,2,0.0,0,0
Ride_256.csv,93.5505,92.478,1.0725,240.0,1.086,13,4.04,99,89
Ride_257.csv,92.3735,25.9798,66.3937,14480.0,33.99,58,55.69,2145,204
Ride_258.csv,25.9548,41.3246,-15.3698,-3040.0,42.757,79,49.66,460,2631
Ride_259.csv,48.4565,46.407,2.0495,320.0,3.129,8,30.37,56,247
Ride_26.csv,69.8701,69.8159,0.0542,0.0,3.866,9,38.89,60,247
Ride_260.csv,89.6695,72.9594,16.7101,3520.0,17.07,87,15.94,803,803
Ride_261.csv,70.2227,64.4593,5.7634,1280.0,6.048,32,16.91,349,219
Ride_262.csv,64.4373,63.2737,1.1636,160.0,2.237,9,22.3,53,59
Ride_263.csv,50.6247,45.8908,4.7339,960.0,7.461,48,14.3,233,395
Ride_264.csv,43.592,41.366,2.226,480.0,4.726,14,4.37,83,111
Ride_265.csv,52.8932,43.9104,8.9828,2000.0,10.772,31,31.13,214,376
Ride_266.csv,96.946,86.0258,10.9202,2400.0,10.832,32,32.39,246,424
Ride_267.csv,73.4751,67.4593,6.0158,1360.0,3.542,13,23.52,215,38
Ride_268.csv,46.7186,42.0476,4.671,1120.0,4.703,7,53.56,145,34
Ride_269.csv,79.3469,72.216,7.1309,1520.0,7.982,19,34.41,239,278
Ride_27.csv,63.2896,63.1606,0.129,0.0,0.809,7,23.57,33,73
Ride_270.csv,66.0494,63.6262,2.4232,480.0,3.924,6,23.23,77,77
Ride_271.csv,63.5531,61.2566,2.2965,480.0,16.513,18,60.43,107,380
Ride_272.csv,65.8226,61.6137,4.2089,880.0,6.816,17,26.27,152,314
Ride_273.csv,39.1155,29.7551,9.3604,1920.0,3.614,19,16.81,272,106
Ride_274.csv,55.9266,55.6492,0.2774,0.0,3.123,7,43.95,51,179
Ride_275.csv,46.731,41.5467,5.1843,1200.0,7.316,17,39.36,172,315
Ride_276.csv,49.353,48.9518,0.4012,80.0,0.173,2,0.0,7,8
Ride_277.csv,48.4202,47.8586,0.5616,160.0,0.361,2,17.24,5,13
Ride_278.csv,41.1394,40.0001,1.1393,240.0,0.407,2,30.78,30,6
Ride_279.csv,40.8678,38.9313,1.9365,320.0,1.834,10,15.09,33,63
Ride_28.csv,78.8127,78.0289,0.7838,160.0,3.945,15,29.31,75,265
